base_price,discounted_price,product_name,category,brand,description
4.99,4.99,Croquants Sésame 130g Bio,Epicerie sucrée,Supersec,Croquants Sésame 130G Bio.
3.39,3.39,Purée Pomme Cannelle Sans Sucres Ajoutés 4x100g Bio,Epicerie sucrée,Danival,Purée pomme cannelle sans sucres ajoutés 4x100G Bio.
4.45,4.45,340gvitbio Cool Frui Yaour Fra Bio,Epicerie sucrée,Vitabio,Un mélange savoureux de fruits avec juste ce qu'il faut de yaourt pour un goûter aux fruits onctueux et gourmand à emporter partout.
5.09,5.09,Pâte à Tartiner Cacao Souchet Sans Gluten 200g Bio,Epicerie sucrée,Paradeigma,Notre onctueuse pâte à tartiner sans gluten et biologique au cacao et souchets est idéale pour les goûters.
1.99,1.99,Bonbons Frutti Worms 100g Bio,Enfant,Okovital,Confiserie fruitée sans gélatine avec 1.62% de concentré de jus de fruits bio correspondant à une teneur en jus de fruit de 8.35%.
3.5,3.5,Dessert Pomme Kiwi Sans Sucres Ajoutés 4x100g Bio,Epicerie sucrée,Danival,"<!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
-->"
5.6,5.6,Muesli Croustillant Fruits Du Soleil Sans Gluten 450g Bio,Epicerie sucrée,Favrichon,Muesli croustillant Fruits Du Soleil sans gluten 450G Bio.
7.99,7.99,Gâteau Gourmet Amandes & Citron Sans Gluten 225g Bio,Epicerie sucrée,Biscuiterie provence,Gâteau gourmet amandes & citron sans gluten 225G Bio.
3.45,3.45,Purée Pomme & Pêche Sans Sucres Ajoutés 4x100g Bio,Epicerie sucrée,Danival,Purée pomme et pêche 4x100G Bio.
3.95,3.95,Cœur Fondant Abricot Sans Gluten 200g Bio,Epicerie sucrée,Ma vie sans gluten,Cœur Fondant Abricot sans gluten 200G Bio.
4.09,4.09,Goûtine Coco Au Sarrasin Sans Gluten 125g Bio,Epicerie sucrée,Paradeigma,Goûtine Coco au sarrasin sans gluten 125G Bio.
3.69,3.69,Torsades Riz & Lentilles Sans Gluten 250g Bio,Epicerie Salée,Valpibio,Découvrez les torsades de riz sans gluten de Valpibio au goût subtil de lentilles!
3.99,3.99,Biscuits Aux Agrumes Sans Gluten 120g Bio,Epicerie sucrée,Valpibio,Biscuits aux Agrumes sans gluten 120G Bio.
3.69,3.69,Torsades Riz & Pois Chiches Sans Gluten 250g Bio,Epicerie Salée,Valpibio,"Découvrez les torsades de riz et pois chiche Valpibio, de délicieuses pâtes issues de l'agriculture bio et sans gluten ! "
4.79,4.79,Muesli Chocolat & Châtaigne Sans Gluten 375g Bio,Epicerie sucrée,Favrichon,Muesli Chocolat & Châtaigne sans gluten 375G Bio.
3.99,3.99,Speculoos Sarrasin  Sans Gluten 100g Bio,Epicerie sucrée,Valpibio,Speculoos sarrasin  sans gluten 100G Bio.
4.99,4.99,Flakes 3 Chocolats Sans Gluten 450g Bio,Epicerie sucrée,Favrichon,Flakes 3 Chocolats sans gluten 450G Bio.
5.65,5.65,Pizza Reine Vegan Sans Gluten 250g Bio,Produits frais,Les p'tits chefs bio,Pizza Reine Sans gluten Vegan. Ingrédients issus de l'agriculture biologique.
3.65,3.65,Boisson à La Noisette Sans Sucres Et Sans Gluten 1l Bio,Boissons,Ecomil,"Boisson végétale aux noisettes bio sans sucres*, Tetra Brik 1 L "
2.85,2.85,Tartines Craquantes à L'avoine Sans Gluten 150g Bio,Epicerie sucrée,Le pain des fleurs,Tartines craquantes à l'avoine sans gluten 150G Bio.
3.35,3.35,Trio De Riz Thaï Complet Sans Gluten 500g Bio,Epicerie Salée,Autour du riz,"Une démarche équitable: le riz est acheté au moment de la récolte. Les agriculteurs perçoivent une prime, conformément aux règles du commerce équitable."
3.3,3.3,Boisson Riz & Épeautre & Amande 1l Bio,Boissons,Bonneterre,Boisson Riz & Épeautre & Amande 1L Bio.
9.5,9.5,Myrtilles Séchées 125g Bio,Epicerie sucrée,Pronatura,Myrtilles séchées 125G Bio.
1.99,1.99,Tartines Craquantes Au Maïs Et Au Riz Sans Gluten 150g Bio,Epicerie sucrée,Le pain des fleurs,Tartines craquantes au maïs et au riz sans gluten 150G Bio.
5.29,5.29,Chocolat Noir 70% Sans Gluten 180g Bio,Epicerie sucrée,Dardenne,Fabriqué de manière traditionnelle depuis 117 ans à Luchon au cœur des Pyrénées à partir de la Fève broyée ou masse de cacao avec tout le savoir-faire des Maîtres chocolatiers Français!
2.59,2.59,Bière Au Quinoa Sans Gluten 33cl Bio,Vins et alcools,Altiplano,Bière au Quinoa sans gluten 33Cl Bio.
4.15,4.15,Madeleines Aux Amandes Sans Gluten 180g Bio,Epicerie sucrée,Recettes de celiane,Madeleines aux amandes sans gluten 180G Bio.
2.99,2.99,Boisson Coco Nature Sans Sucres Et Sans Gluten 1l Bio,Boissons,Ecomil,"Rice Drink Coco: Harmonie parfaite entre la douceur du riz et le goût envoutant de la noix de coco. Une recette rêvée pour les adaptes du végétarisme qui se distingue par sa fonctionnalité dans la cuisine quotidienne. Boisson 100% plaisir au délicat goût de noix de coco, obtenu par des noix de coco soigneusement sélectionnées. En plus, sans gluten, sans sucres et faible teneur en matières grasses!"
4.29,4.29,Muffins Cœur Noisette Sans Gluten 200g Bio,Epicerie sucrée,Recettes de celiane,Muffins cœur noisette sans gluten 200G Bio.
5.15,5.15,Dani'pom Purée Pomme Myrtille Sans Sucres Ajoutés 700g Bio,Epicerie sucrée,Danipom,Purée Pomme Myrtille sans sucres ajoutés 700G Bio.
12.63,12.63,Proroyal Kid Goût Abricot - 10 Doses Bio,Santé & Bien-être,Proroyal,"Voici des millénaires que l’homme connaît et utilise les vertus extraordinaires des produits de la ruche. PHYTOCEUTIC, expert des compléments alimentaires d’origine naturelle depuis plus de 20 ans, sélectionne rigoureusement et associe ces trésors de la nature pour le bien-être de toute la famille."
4.45,4.45,Dani'pom Purée Pomme Vanille Sans Sucres Ajoutés 700g Bio,Epicerie sucrée,Danipom,Purée Pomme Vanille sans sucres ajoutés 700G Bio.
3.8,3.8,Gel Dentifrice Enfants Fraise 50ml Bio,"Hygiène, Beauté",Logodent,Gel dentifrice enfants fraise 50ML Bio.
3.8,3.8,Gel Dentifrice Menthe Douce Pour Enfants 50ml Bio,"Hygiène, Beauté",Logodent,Gel dentifrice Menthe douce pour enfants 50Ml Bio.
10.5,10.5,Douche Des Familles Lemongrass 1l Bio,Enfant,Douce nature,Le gel douche des familles convient à tous les types de peaux même délicates pour un usage quotidien.
11,11,Shampoing Douche Des Familles Medicago 1l Bio,"Hygiène, Beauté",Douce nature,"Le shampooing douche des familles de Douce Nature est un soin deux en un qui convient à tous les types de cheveux et de peaux, même les plus sensibles, en vertu de sa formule douce."
6.15,6.15,Dentifrice Fraise Dragondents Pour Enfants 75ml Bio,"Hygiène, Beauté",Phytonorm,Dentifrice fraise Dragondents pour enfants 75Ml Bio.
9.6,9.6,Shampooing Contre Les Poux 200ml Bio,"Bébé, Maman",Douce nature,Shampooing contre les poux 200ML BIO.
10.2,10.2,Shampoing Des Familles à La Sève De Bouleau 1l Bio,"Hygiène, Beauté",Douce nature,"Le shampoing des familles de Douce Nature est un shampoing qui convient à tous types de cheveux et à toute la famille. Formulé à base de sève de bouleau biologique et d'extrait d'ortie, ce shampoing bio respecte vos cheveux."
8.15,8.15,Propolentum Kids Sans Sucres - 30 Pastilles,Santé & Bien-être,Aagaard,Propolentum Kids sans sucres - 30 Pastilles.
9.6,9.6,Sirop La Potion Du Dragon 150ml Bio,Santé & Bien-être,Phytonorm,"La potion du Dragon est un sirop, au goût framboise-cerise, pour les enfants à partir de 4 ans apportant tonus et énergie et protégeant des refroidissements."
19.99,19.99,Multi-vitamines & Minéraux Pour Enfants - 60 Comprimés,Santé & Bien-être,Nature plus,Multi-vitamines & minéraux pour enfants - 60 comprimés.
6.1,6.1,Dentifrice Enfants à La Fraise 75ml Bio,"Hygiène, Beauté",Melvita,Dentifrice enfants à la fraise 75Ml Bio.
13.2,13.2,Floradix Kindervital Pour Enfants 250ml,Santé & Bien-être,Salus,Floradix Kindervital pour enfants 250Ml
3.2,3.2,Happy Choc'lait 200g Bio,Epicerie sucrée,Evernat,Happy Choc'Lait 200G Bio.
1.69,1.69,Les Pâtinettes - Animaux Rigolos 250g Bio,Epicerie Salée,Primeal,Les Pâtinettes - animaux rigolos 250G Bio.
2.6,2.6,Les Pâtinettes - Coquillettes Blé & Quinoa Carotte 250g Bio,Epicerie Salée,Primeal, 
6.4,6.4,Gel Dentifrice Pour Enfant 2x50ml,"Hygiène, Beauté",Weleda,Nettoie en douceur les dents de lait.
4.2,4.2,Formule Choc' 125g Bio,Epicerie sucrée,Evernat,Biscuits avec chocolat au lait er fourrage lait 125G Bio.
2.42,2.42,Les Pâtinettes - Alphabet Tricolore 250g Bio,Epicerie Salée,Primeal,Les Pâtinettes - alphabet tricolore 250G Bio.
4.92,4.92,Lait Chocolaté Uht 6x20cl Bio,Produits frais,Grandeur nature,Lait chocolaté 6x20Cl Bio.
14.2,14.2,Complexe Enfant Ange Gardien En Granules Sans Alcool 10ml Bio,Santé & Bien-être,Biofloral,"Ange Gardien aide à sortir des états de tristesse ou de déprime, de mélancolie et de résignation. Un complexe pour ramener une nouvelle joie de vivre et une vision optimiste chez l'enfant. Pour l'aider à traverser des épreuves de vie difficile émotionnellement."
1.89,1.89,Palmiers 100g Bio,Epicerie sucrée,Evernat,"Croustillants avec leur pâte feuilletée sucrée au sucre de canne roux non raffiné et au miel, les Palmiers Evernat sont naturellement source de fibres."
2.95,2.95,Biobis Choco Epeautre 300g Bio,Epicerie sucrée,Pural,15 biscuits à l'épeautre fourrés crème de cacao (20%)
5.85,5.85,Ka'ré Choco Noisette 500g Bio,Epicerie sucrée,Grillon d'or,Grillon d'Or vous propose les Ka'ré fourrés Chocolat noisette : un coeur fondant chocolat noisette dans un biscuit chocolaté aux 3 céréales pour un petit déjeuner Ka'ré ment Chocolat !
2.99,2.99,Matins Céréales Chocolat 200g Bio,Epicerie sucrée,Bisson,Matins céréales chocolat 200G Bio.
4.2,4.2,Gel Dentifrice Pour Enfant 50ml Bio,"Hygiène, Beauté",Weleda,"Un gel spécialement formulé pour les dents de lait, ce dentifrice aide à lutter contre la plaque dentaire responsable de la formation de caries."
2.5,2.5,Biobis Vanille 300g Bio,Epicerie sucrée,Pural,15 fourrés rond parfum vanille (min. 20%)
2.75,2.75,Sauce Tomate Aux Cèpes 200g Bio,Epicerie Salée,Prosain,Sauce tomate aux cèpes 200G Bio.
3.65,3.65,Poki Pomme Fraise Sans Sucres Ajoutés 4x90g Bio,Epicerie sucrée,Danival,Poki pomme fraise sans sucres ajoutés 4x90G Bio.
4.2,4.2,Thon En Escabèche Sans Sel 112g ,Epicerie Salée,Ortiz,La conserverie Ortiz confectionne de façon totalement artisanale et à la mainleurs conserves de poisson.
4.2,4.2,Fusilli 100% Sarrasin Sans Gluten 500g Bio,Epicerie Salée,Ma vie sans gluten,Ma Vie Sans Gluten est une marque spécialisée dans les produits d'épicerie Bio et garantis sans gluten : pour les consommateurs qui ne peuvent pas ou ne veulent pas consommer de gluten !
3.99,3.99,Dani'pom Purée De Pomme Sans Sucres Ajoutés 700g Bio,Epicerie sucrée,Danipom,Purée de pommes bio 
1.99,1.99,Concentré De Tomates 28% 100g Bio,Epicerie Salée,Danival,Concentré de tomates 28% 100G Bio.
1.5,1.5,Bouillon Végétal Pauvre En Sel Bio,Epicerie Salée,Natur compagnie,"Etui de 8 cubes de bouillon végétal BIO, pauvre en sel sans huile de palme."
